id;set;year;onset_date;y_true;pred_date;y_pred_best;error_best;error_abs_best;y_pred_latest;error_latest;error_abs_latest;error_abs_yearly
34;test;1985;30.05.1985;1;05/29;1.24;0.2358;0.2358;-0.05;-1.0528;1.0528;3.0624
34;test;1985;30.05.1985;2;05/28;1.56;-0.4440;0.4440;0.07;-1.9341;1.9341;3.0624
34;test;1985;30.05.1985;3;05/27;2.07;-0.9344;0.9344;0.88;-2.1163;2.1163;3.0624
34;test;1985;30.05.1985;4;05/26;3.14;-0.8569;0.8569;1.91;-2.0944;2.0944;3.0624
34;test;1985;30.05.1985;5;05/25;4.26;-0.7444;0.7444;2.51;-2.4933;2.4933;3.0624
34;test;1985;30.05.1985;6;05/24;4.93;-1.0738;1.0738;3.84;-2.1613;2.1613;3.0624
34;test;1985;30.05.1985;7;05/23;5.96;-1.0373;1.0373;4.55;-2.4480;2.4480;3.0624
34;test;1985;30.05.1985;8;05/22;7.35;-0.6529;0.6529;5.83;-2.1691;2.1691;3.0624
34;test;1985;30.05.1985;9;05/21;8.37;-0.6339;0.6339;7.00;-1.9985;1.9985;3.0624
34;test;1985;30.05.1985;10;05/20;9.16;-0.8422;0.8422;8.02;-1.9807;1.9807;3.0624
34;test;1985;30.05.1985;11;05/19;10.20;-0.7957;0.7957;9.06;-1.9414;1.9414;3.0624
34;test;1985;30.05.1985;12;05/18;10.80;-1.2019;1.2019;9.82;-2.1828;2.1828;3.0624
34;test;1985;30.05.1985;13;05/17;11.52;-1.4810;1.4810;10.70;-2.2954;2.2954;3.0624
34;test;1985;30.05.1985;14;05/16;12.14;-1.8577;1.8577;11.97;-2.0276;2.0276;3.0624
34;test;1985;30.05.1985;15;05/15;12.67;-2.3301;2.3301;13.58;-1.4235;1.4235;3.0624
34;test;1985;30.05.1985;16;05/14;13.12;-2.8804;2.8804;15.13;-0.8709;0.8709;3.0624
34;test;1985;30.05.1985;17;05/13;13.47;-3.5343;3.5343;16.28;-0.7250;0.7250;3.0624
34;test;1985;30.05.1985;18;05/12;14.31;-3.6949;3.6949;16.97;-1.0310;1.0310;3.0624
34;test;1985;30.05.1985;19;05/11;15.20;-3.7971;3.7971;17.69;-1.3072;1.3072;3.0624
34;test;1985;30.05.1985;20;05/10;15.83;-4.1743;4.1743;18.52;-1.4828;1.4828;3.0624
34;test;1985;30.05.1985;21;05/09;16.45;-4.5491;4.5491;19.88;-1.1241;1.1241;3.0624
34;test;1985;30.05.1985;22;05/08;17.43;-4.5694;4.5694;21.68;-0.3246;0.3246;3.0624
34;test;1985;30.05.1985;23;05/07;18.21;-4.7873;4.7873;23.30;0.2995;0.2995;3.0624
34;test;1985;30.05.1985;24;05/06;18.83;-5.1697;5.1697;24.32;0.3152;0.3152;3.0624
34;test;1985;30.05.1985;25;05/05;19.47;-5.5266;5.5266;25.25;0.2493;0.2493;3.0624
34;test;1985;30.05.1985;26;05/04;20.20;-5.8025;5.8025;26.14;0.1426;0.1426;3.0624
34;test;1985;30.05.1985;27;05/03;20.59;-6.4057;6.4057;26.46;-0.5392;0.5392;3.0624
34;test;1985;30.05.1985;28;05/02;21.05;-6.9543;6.9543;27.63;-0.3746;0.3746;3.0624
34;test;1985;30.05.1985;29;05/01;21.61;-7.3873;7.3873;28.23;-0.7659;0.7659;3.0624
34;test;1985;30.05.1985;30;04/30;22.48;-7.5165;7.5165;28.55;-1.4544;1.4544;3.0624
34;test;1995;10.06.1995;1;06/09;2.87;1.8700;1.8700;2.46;1.4552;1.4552;5.2602
34;test;1995;10.06.1995;2;06/08;4.61;2.6094;2.6094;3.44;1.4387;1.4387;5.2602
34;test;1995;10.06.1995;3;06/07;5.82;2.8244;2.8244;4.53;1.5273;1.5273;5.2602
34;test;1995;10.06.1995;4;06/06;6.53;2.5309;2.5309;5.72;1.7195;1.7195;5.2602
34;test;1995;10.06.1995;5;06/05;6.40;1.4039;1.4039;6.17;1.1700;1.1700;5.2602
34;test;1995;10.06.1995;6;06/04;6.19;0.1905;0.1905;6.81;0.8114;0.8114;5.2602
34;test;1995;10.06.1995;7;06/03;6.60;-0.3951;0.3951;7.06;0.0621;0.0621;5.2602
34;test;1995;10.06.1995;8;06/02;6.91;-1.0938;1.0938;7.89;-0.1145;0.1145;5.2602
34;test;1995;10.06.1995;9;06/01;7.10;-1.9035;1.9035;8.53;-0.4680;0.4680;5.2602
